Label   | Q線 | Y線 | 差  | 比  | 文字数 | 構文
--------|-----|-----|-----|-----|--------|-----
Current |  12 |   2 |  10 | 6.0 |     15 | にほんのなつはほんとうにあつい
P1      |  11 |   3 |   8 | 3.7 |     17 | にほんのひとはていねいにいきている
P2      |  11 |   4 |   7 | 2.8 |     16 | にほんのこころはとてもていねいだ
P3      |  10 |   3 |   7 | 3.3 |     18 | ていねいなこころこそにほんのたからだ
P4      |  14 |   3 |  11 | 4.7 |     19 | にほんのひとのこころはほんとにきれいだ
P5      |  13 |   5 |   8 | 2.6 |     19 | ていねいにいきることがにほんのこころだ
P6      |  11 |   3 |   8 | 3.7 |     17 | にほんのひとはほんとうにていねいだ
P7      |   9 |   3 |   6 | 3.0 |     17 | このていねいさこそにほんのほこりだ
P8      |  15 |   3 |  12 | 5.0 |     20 | にほんのこころはていねいさにあふれている
P9      |  12 |   4 |   8 | 3.0 |     19 | ていねいなにほんのこころにふれてみたい
P10     |  12 |   3 |   9 | 4.0 |     16 | にほんのひとのていねいさはすごい
P11     |  12 |   4 |   8 | 3.0 |     20 | にほんのひとはていねいでこころがきれいだ
P12     |  14 |   5 |   9 | 2.8 |     21 | にほんのていねいさはせかいにほこれるものだ
P13     |  12 |   4 |   8 | 3.0 |     22 | ていねいにいきていくことがいちばんたいせつだ
P14     |   8 |   3 |   5 | 2.7 |     19 | ひとにていねいにせっしていきたいものだ
P15     |  14 |   4 |  10 | 3.5 |     18 | にほんのてんきはきせつごとにことなる
P16     |  14 |   3 |  11 | 4.7 |     20 | にほんのひとのていねいさにこころうたれた
P17     |  10 |   3 |   7 | 3.3 |     16 | にほんのひとはていねいでやさしい
P18     |  14 |   6 |   8 | 2.3 |     19 | ていねいなことばがひとのこころにひびく
P19     |  14 |   5 |   9 | 2.8 |     20 | にほんのひとはほんとうにこころがきれいだ
P20     |  10 |   3 |   7 | 3.3 |     18 | ていねいにいきているひとはうつくしい
P21     |  11 |   4 |   7 | 2.8 |     18 | にほんのこころはていねいでうつくしい
P22     |  11 |   3 |   8 | 3.7 |     21 | にほんのひとのこころのきれいさにおどろいた
P23     |  13 |   3 |  10 | 4.3 |     19 | にほんのひとのていねいなこころにふれた
P24     |  11 |   3 |   8 | 3.7 |     18 | ていねいなにほんのこころはうつくしい
P25     |  12 |   4 |   8 | 3.0 |     19 | にほんのこころのていねいさはほんものだ
